accountID,tDate,amount,description
2025-04-11,1373.73,Include six soon physical Mr.
2024-08-08,1632.27,Prepare reveal long bad myself.
2024-08-27,-25.9,Summer eye low form training society attack.
2024-05-18,678.8,Ask authority under between.
2025-01-28,1577.46,Late whom they state thus political.
2025-04-11,647.57,Raise brother choice most relationship expect series.
2024-10-26,-96.39,You area court lose better.
2024-09-05,1741.56,Discover exactly sport appear right be hospital.
2025-01-29,-186.85,Your have black through send including bring.
2025-03-26,1776.04,City third share whether particular main.
2024-04-30,1447.39,Weight leg treatment good.
2025-02-03,509.59,Score stuff town claim stand program at.
2024-12-06,474.45,Least central ability bar stock throughout.
2024-09-04,1269.36,Like law west bed situation administration assume hard.
2025-01-30,751.39,Mean since million policy record might already know.
2024-08-08,520.62,Across talk office situation nation build own far.
2025-01-30,382.64,Professor only high decade sense dream.
2024-05-23,796.5,Light size listen book.
2025-03-05,1022.99,Moment situation cell education simple stay.
2024-11-01,1636.27,Close where serve foot cost.
2024-08-11,1634.32,Method capital run box outside part.
2024-08-23,-50.38,Mr wait current whom few could.
2025-04-11,-161.66,Month stand science list cell.
2024-05-02,-493.56,During under many industry education should be.
2025-01-17,29.8,Action officer son suddenly whether look evening.
